Thoi_Gian,Ap_Bat_Loi,Ap_Sau_Van,Luu_Luong,Ap_Truoc_Van,Dung_Luong_Ac_Quy_Van,Dung_Luong_Ac_Quy_Bat_Loi
4/8/2026-12:45:01,1.90,3.27,139.52,3.25,100.00,100.00
4/8/2026-13:00:01,2.14,3.38,130.09,3.35,100.00,100.00
4/8/2026-13:15:01,2.32,3.42,127.13,3.38,100.00,100.00
4/8/2026-13:30:01,2.34,3.46,128.71,3.42,100.00,100.00
4/8/2026-13:45:01,2.38,3.37,121.22,3.33,100.00,100.00
4/8/2026-14:00:01,2.53,3.49,120.28,3.45,100.00,100.00
4/8/2026-14:15:01,2.59,3.46,121.93,3.42,100.00,100.00
4/8/2026-14:30:01,2.51,3.46,124.42,3.42,100.00,100.00
4/8/2026-14:45:01,2.47,3.42,134.71,3.41,100.00,100.00
4/8/2026-15:00:01,2.04,3.07,134.25,3.03,100.00,100.00
4/8/2026-15:15:01,2.22,3.15,133.23,3.12,100.00,100.00
4/8/2026-15:30:01,2.03,3.10,134.45,3.07,100.00,100.00
4/8/2026-15:45:01,2.26,3.09,127.79,3.05,100.00,100.00
4/8/2026-16:00:01,2.05,3.03,130.53,2.99,100.00,100.00
4/8/2026-16:15:01,2.07,3.40,141.42,3.38,100.00,100.00
4/8/2026-16:30:01,2.20,3.49,156.29,3.49,100.00,100.00
4/8/2026-16:45:01,1.66,3.40,154.27,3.41,100.00,100.00
4/8/2026-17:00:01,1.95,3.27,146.63,3.26,100.00,100.00
4/8/2026-17:15:01,1.20,3.35,174.20,3.37,97.00,100.00
4/8/2026-17:30:01,1.77,3.43,170.97,3.46,93.00,100.00
4/8/2026-17:45:01,2.00,3.73,207.47,3.78,89.00,100.00
4/8/2026-18:00:01,1.47,3.66,201.70,3.72,90.00,96.00
4/8/2026-18:15:01,1.19,3.64,204.20,3.71,89.00,93.00
4/8/2026-18:30:01,1.13,3.53,214.21,3.62,88.00,93.00
4/8/2026-18:45:01,0.82,3.35,210.60,3.40,88.00,92.00
4/8/2026-19:00:01,1.07,3.48,210.95,3.58,88.00,92.00
4/8/2026-19:15:01,0.95,3.40,215.16,3.50,88.00,92.00
4/8/2026-19:30:01,0.98,3.61,226.36,3.73,87.00,92.00
4/8/2026-19:45:01,0.98,3.62,236.78,3.77,86.00,91.00
4/8/2026-20:00:01,1.04,3.67,235.02,3.79,87.00,91.00
4/8/2026-20:15:01,0.96,3.69,235.66,3.79,86.00,91.00
4/8/2026-20:30:01,1.13,3.77,241.00,3.89,86.00,91.00
4/8/2026-20:45:01,1.18,3.52,216.53,3.60,86.00,90.00
4/8/2026-21:00:01,1.27,3.57,214.80,3.67,86.00,90.00
4/8/2026-21:15:01,1.34,3.66,207.23,3.74,86.00,90.00
4/8/2026-21:30:01,1.33,3.71,196.57,3.78,86.00,90.00
4/8/2026-21:45:01,1.38,3.64,194.24,3.69,85.00,90.00
4/8/2026-22:00:01,1.33,3.48,189.83,3.55,85.00,90.00
4/8/2026-22:15:01,1.41,3.21,171.56,3.22,85.00,89.00
4/8/2026-22:30:01,1.54,3.25,167.35,3.27,84.00,89.00
4/8/2026-22:45:01,0.83,1.46,49.90,3.20,85.00,89.00
4/8/2026-23:00:01,0.90,1.51,48.68,3.21,84.00,88.00
4/8/2026-23:15:01,0.82,1.42,38.67,2.52,84.00,88.00
4/8/2026-23:30:01,0.89,1.51,40.56,2.69,84.00,88.00
4/8/2026-23:45:01,0.96,1.53,41.26,2.70,84.00,87.00
