Thoi_Gian,Ap_Bat_Loi,Ap_Sau_Van,Luu_Luong,Ap_Truoc_Van,Dung_Luong_Ac_Quy_Van,Dung_Luong_Ac_Quy_Bat_Loi
4/8/2026-00:00:00,0.94,1.53,34.04,2.93,83.00,87.00
4/8/2026-00:15:00,1.00,1.57,35.38,2.97,83.00,86.00
4/8/2026-00:30:00,1.02,1.57,34.69,2.99,82.00,86.00
4/8/2026-00:45:00,1.03,1.57,35.28,3.03,82.00,86.00
4/8/2026-01:00:00,1.06,1.62,31.80,2.86,82.00,86.00
4/8/2026-01:15:00,1.07,1.64,30.58,2.93,82.00,85.00
4/8/2026-01:30:00,0.92,1.45,18.48,2.86,81.00,85.00
4/8/2026-01:45:00,0.98,1.49,18.48,2.86,81.00,84.00
4/8/2026-02:00:00,0.97,1.48,18.06,2.88,81.00,84.00
4/8/2026-02:15:00,0.92,1.44,19.26,2.78,81.00,83.00
4/8/2026-02:30:00,0.93,1.45,17.48,2.91,81.00,83.00
4/8/2026-02:45:00,0.96,1.47,19.03,2.91,80.00,83.00
4/8/2026-03:00:00,0.95,1.47,18.99,2.90,80.00,82.00
4/8/2026-03:15:00,1.00,1.50,19.13,3.05,80.00,82.00
4/8/2026-03:30:00,0.99,1.50,19.74,3.05,80.00,81.00
4/8/2026-03:45:00,0.96,1.48,19.49,2.94,80.00,81.00
4/8/2026-04:00:00,0.90,1.42,19.93,3.07,79.00,80.00
4/8/2026-04:15:00,0.86,1.40,21.36,3.32,79.00,80.00
4/8/2026-04:30:00,0.91,1.42,21.28,3.27,79.00,80.00
4/8/2026-04:45:00,0.85,1.37,20.15,3.28,79.00,80.00
4/8/2026-05:00:00,0.86,1.39,21.21,3.58,79.00,79.00
4/8/2026-05:15:00,0.89,1.44,26.36,4.51,78.00,79.00
4/8/2026-05:30:00,0.74,1.35,26.31,4.46,78.00,78.00
4/8/2026-05:45:00,1.23,3.71,247.83,3.90,77.00,78.00
4/8/2026-06:00:00,1.31,3.69,227.85,3.80,78.00,79.00
4/8/2026-06:15:00,1.23,3.45,213.75,3.54,79.00,81.00
4/8/2026-06:30:00,1.09,3.39,206.16,3.49,80.00,87.00
4/8/2026-06:45:00,1.16,3.27,200.45,3.34,81.00,95.00
4/8/2026-07:00:00,1.17,3.42,209.84,3.53,85.00,100.00
4/8/2026-07:15:00,1.21,3.47,218.66,3.58,90.00,100.00
4/8/2026-07:30:00,1.34,3.47,212.11,3.58,98.00,100.00
4/8/2026-07:45:00,1.34,3.33,192.91,3.41,100.00,100.00
4/8/2026-08:00:00,1.49,3.10,174.13,3.12,100.00,100.00
4/8/2026-08:15:00,1.51,2.97,169.52,2.96,100.00,100.00
4/8/2026-08:30:00,1.58,3.12,171.64,3.13,100.00,100.00
4/8/2026-08:45:01,1.61,3.16,160.71,3.16,100.00,100.00
4/8/2026-09:00:01,1.76,3.19,157.41,3.18,100.00,100.00
4/8/2026-09:15:01,1.66,3.19,158.65,3.20,100.00,100.00
4/8/2026-09:30:01,1.84,3.12,141.60,3.10,100.00,100.00
4/8/2026-09:45:01,1.69,3.22,157.36,3.22,100.00,100.00
4/8/2026-10:00:01,1.96,3.52,179.25,3.53,100.00,100.00
4/8/2026-10:15:01,2.07,3.55,173.44,3.57,100.00,100.00
4/8/2026-10:30:01,2.22,3.61,156.67,3.60,100.00,100.00
4/8/2026-10:45:01,2.45,3.77,165.61,3.77,100.00,100.00
4/8/2026-11:00:01,2.37,3.72,169.49,3.73,100.00,100.00
4/8/2026-11:15:01,2.10,3.49,162.13,3.49,100.00,100.00
4/8/2026-11:30:01,1.98,3.39,159.79,3.39,100.00,100.00
4/8/2026-11:45:01,1.92,3.48,168.67,3.51,100.00,100.00
4/8/2026-12:00:01,1.76,3.53,167.29,3.55,100.00,100.00
4/8/2026-12:15:01,1.88,3.22,153.93,3.21,100.00,100.00
4/8/2026-12:30:01,1.72,3.27,148.01,3.26,100.00,100.00
