Thoi_Gian,Ap_Bat_Loi,Ap_Sau_Van,Luu_Luong,Ap_Truoc_Van,Dung_Luong_Ac_Quy_Van,Dung_Luong_Ac_Quy_Bat_Loi
4/11/2026-00:00:03,0.85,1.43,31.74,2.86,83.00,87.00
4/11/2026-00:15:03,0.85,1.40,30.82,2.88,83.00,87.00
4/11/2026-00:30:03,0.93,1.48,30.54,2.94,83.00,86.00
4/11/2026-00:45:03,0.96,1.50,28.93,2.90,83.00,86.00
4/11/2026-01:00:03,0.89,1.40,19.74,2.86,82.00,86.00
4/11/2026-01:15:03,0.89,1.40,19.50,2.91,82.00,85.00
4/11/2026-01:30:03,0.88,1.40,19.56,3.05,82.00,85.00
4/11/2026-01:45:03,0.85,1.38,19.91,3.07,82.00,85.00
4/11/2026-02:00:03,0.94,1.50,34.09,3.09,81.00,84.00
4/11/2026-02:15:03,0.87,1.41,24.51,3.10,81.00,83.00
4/11/2026-02:30:03,0.85,1.38,22.08,3.08,81.00,83.00
4/11/2026-02:45:03,0.85,1.37,20.74,3.14,81.00,83.00
4/11/2026-03:00:03,0.85,1.37,23.05,3.16,80.00,82.00
4/11/2026-03:15:03,0.98,1.52,31.02,3.08,80.00,82.00
4/11/2026-03:30:03,0.86,1.39,18.44,3.09,80.00,81.00
4/11/2026-03:45:03,0.87,1.39,23.06,3.07,80.00,81.00
4/11/2026-04:00:03,0.97,1.51,37.06,3.38,80.00,81.00
4/11/2026-04:15:03,0.91,1.46,24.57,3.36,79.00,80.00
4/11/2026-04:30:03,0.98,1.54,39.94,3.85,79.00,80.00
4/11/2026-04:45:03,0.90,1.43,32.23,3.37,79.00,79.00
4/11/2026-05:00:03,0.84,1.51,32.94,3.63,78.00,79.00
4/11/2026-05:15:03,0.85,1.49,32.13,4.31,78.00,79.00
4/11/2026-05:30:03,0.94,1.55,49.62,4.44,78.00,78.00
4/11/2026-05:45:03,1.22,3.84,245.67,4.05,78.00,79.00
4/11/2026-06:00:03,1.29,3.80,223.69,3.90,79.00,80.00
4/11/2026-06:15:03,1.30,3.70,201.61,3.79,80.00,87.00
4/11/2026-06:30:03,1.27,3.44,196.66,3.51,79.00,96.00
4/11/2026-06:45:03,1.11,3.37,191.98,3.41,86.00,100.00
4/11/2026-07:00:03,1.27,3.52,209.86,3.60,90.00,100.00
4/11/2026-07:15:03,1.23,3.52,209.89,3.62,98.00,100.00
4/11/2026-07:30:03,1.37,3.55,210.55,3.64,100.00,100.00
4/11/2026-07:45:03,1.35,3.57,195.59,3.64,100.00,100.00
4/11/2026-08:00:03,1.30,3.62,218.71,3.71,100.00,100.00
4/11/2026-08:15:03,1.48,3.65,204.96,3.72,100.00,100.00
4/11/2026-08:30:03,1.69,3.74,211.64,3.83,100.00,100.00
4/11/2026-08:45:03,1.80,3.47,197.30,3.52,100.00,100.00
4/11/2026-09:00:03,1.90,3.56,195.74,3.60,100.00,100.00
4/11/2026-09:15:03,1.86,3.53,184.62,3.65,100.00,100.00
4/11/2026-09:30:03,1.95,3.51,181.20,3.64,100.00,100.00
4/11/2026-09:45:03,1.69,3.28,164.07,3.73,100.00,100.00
4/11/2026-10:00:03,1.91,3.24,160.43,3.70,100.00,100.00
4/11/2026-10:15:03,1.81,3.20,163.82,3.72,100.00,100.00
4/11/2026-10:30:03,1.69,3.38,166.42,3.63,100.00,100.00
4/11/2026-10:45:03,1.85,3.39,180.49,3.61,100.00,100.00
4/11/2026-11:00:03,1.72,3.41,174.30,3.62,100.00,100.00
