Thoi_Gian,Ap_Bat_Loi,Ap_Sau_Van,Luu_Luong,Ap_Truoc_Van,Dung_Luong_Ac_Quy_Van,Dung_Luong_Ac_Quy_Bat_Loi
4/11/2026-11:15:03,1.85,3.52,184.92,3.77,100.00,100.00
4/11/2026-11:30:03,1.83,3.42,175.18,3.82,100.00,100.00
4/11/2026-11:45:03,2.01,3.49,173.83,3.81,100.00,100.00
4/11/2026-12:00:03,1.76,3.49,163.96,3.70,100.00,100.00
4/11/2026-12:15:03,1.68,3.08,162.87,3.76,100.00,100.00
4/11/2026-12:30:03,1.53,2.49,117.67,3.86,100.00,100.00
4/11/2026-12:45:03,1.46,2.95,133.90,3.57,100.00,100.00
4/11/2026-13:00:03,1.60,2.52,111.06,3.66,100.00,100.00
4/11/2026-13:15:03,1.54,2.57,112.87,3.68,100.00,100.00
4/11/2026-13:30:03,1.65,2.75,138.05,3.64,100.00,100.00
4/11/2026-13:45:03,1.52,2.54,133.66,3.67,100.00,100.00
4/11/2026-14:00:03,1.61,2.47,116.14,3.71,100.00,100.00
4/11/2026-14:15:03,1.59,2.46,106.56,3.53,100.00,100.00
4/11/2026-14:30:03,1.50,2.28,92.21,3.68,100.00,100.00
4/11/2026-14:45:03,1.60,2.65,121.11,3.63,100.00,100.00
4/11/2026-15:00:03,1.56,2.47,100.56,3.84,100.00,100.00
4/11/2026-15:15:03,1.54,2.76,128.30,3.46,100.00,100.00
4/11/2026-15:30:03,1.52,2.92,126.64,3.77,100.00,100.00
4/11/2026-15:45:03,1.57,2.89,128.08,3.77,100.00,100.00
4/11/2026-16:00:03,1.51,2.90,140.02,3.59,100.00,100.00
4/11/2026-16:15:03,1.48,2.97,138.85,3.67,100.00,100.00
4/11/2026-16:30:03,1.77,3.31,174.84,3.56,90.00,100.00
4/11/2026-16:45:03,1.39,3.34,191.02,3.67,100.00,100.00
4/11/2026-17:00:03,1.48,3.48,201.30,3.63,97.00,100.00
4/11/2026-17:15:03,1.44,3.48,207.11,3.58,94.00,100.00
4/11/2026-17:30:03,1.45,3.37,201.30,3.46,90.00,100.00
4/11/2026-17:45:03,1.37,3.21,202.79,3.30,89.00,100.00
4/11/2026-18:00:03,1.15,3.42,195.52,3.51,87.00,94.00
4/11/2026-18:15:03,1.08,3.59,194.81,3.70,89.00,92.00
4/11/2026-18:30:03,1.24,3.68,207.13,3.81,89.00,92.00
4/11/2026-18:45:03,1.02,3.68,203.39,3.77,89.00,92.00
4/11/2026-19:00:03,1.13,3.74,203.67,3.83,88.00,92.00
4/11/2026-19:15:03,1.15,3.75,213.12,3.86,88.00,92.00
4/11/2026-19:30:03,1.12,3.37,181.82,3.43,88.00,92.00
4/11/2026-19:45:03,1.13,3.50,189.79,3.57,88.00,91.00
4/11/2026-20:00:03,1.17,3.54,193.65,3.60,88.00,91.00
4/11/2026-20:15:03,1.26,3.60,180.22,3.67,87.00,91.00
4/11/2026-20:30:03,1.30,3.51,233.37,3.64,87.00,91.00
4/11/2026-20:45:03,1.41,3.38,224.02,3.47,87.00,90.00
4/11/2026-21:00:03,1.37,3.34,213.55,3.45,86.00,90.00
4/11/2026-21:15:03,1.36,3.35,202.63,3.42,86.00,90.00
4/11/2026-21:30:03,1.42,3.51,207.95,3.57,86.00,90.00
4/11/2026-21:45:03,1.62,3.74,211.59,3.83,86.00,90.00
4/11/2026-22:00:03,1.67,3.64,198.39,3.71,86.00,90.00
4/11/2026-22:15:03,1.75,3.71,192.97,3.77,85.00,89.00
4/11/2026-22:30:03,1.87,3.66,177.53,3.70,85.00,89.00
4/11/2026-22:45:03,1.76,3.39,162.47,3.75,84.00,89.00
4/11/2026-23:00:03,0.86,1.43,29.73,3.95,84.00,88.00
4/11/2026-23:15:03,0.83,1.39,23.48,3.45,84.00,88.00
4/11/2026-23:30:03,0.83,1.37,22.01,2.90,84.00,88.00
4/11/2026-23:45:03,0.90,1.53,31.36,2.96,84.00,87.00
