Thoi_Gian,Ap_Bat_Loi,Ap_Sau_Van,Luu_Luong,Ap_Truoc_Van,Dung_Luong_Ac_Quy_Van,Dung_Luong_Ac_Quy_Bat_Loi
4/7/2026-00:00:59,0.89,1.40,21.86,3.02,82.00,87.00
4/7/2026-00:15:59,0.89,1.41,22.53,3.21,82.00,86.00
4/7/2026-00:30:59,0.93,1.46,21.66,3.17,82.00,86.00
4/7/2026-00:45:59,0.96,1.50,22.19,3.27,82.00,86.00
4/7/2026-01:00:59,0.98,1.53,22.26,3.30,81.00,85.00
4/7/2026-01:15:59,1.01,1.54,21.77,3.31,81.00,85.00
4/7/2026-01:30:59,1.00,1.55,22.92,3.36,80.00,85.00
4/7/2026-01:45:59,1.02,1.55,23.60,3.37,80.00,84.00
4/7/2026-02:00:59,0.98,1.52,22.58,3.42,80.00,84.00
4/7/2026-02:15:59,0.99,1.54,22.27,3.39,80.00,84.00
4/7/2026-02:31:00,1.04,1.57,22.49,3.41,80.00,83.00
4/7/2026-02:45:00,1.03,1.58,23.03,3.27,80.00,83.00
4/7/2026-03:00:00,1.06,1.59,22.92,3.42,80.00,82.00
4/7/2026-03:15:00,1.06,1.60,22.49,3.42,79.00,82.00
4/7/2026-03:30:00,1.06,1.58,23.14,3.38,79.00,81.00
4/7/2026-03:45:00,1.03,1.56,21.71,3.37,79.00,81.00
4/7/2026-04:00:00,0.99,1.53,22.55,3.35,79.00,81.00
4/7/2026-04:15:00,0.91,1.47,23.07,3.01,79.00,80.00
4/7/2026-04:30:00,0.92,1.45,21.53,3.12,78.00,80.00
4/7/2026-04:45:00,0.87,1.41,21.46,3.12,78.00,80.00
4/7/2026-05:00:00,0.85,1.41,21.84,3.04,78.00,79.00
4/7/2026-05:15:00,0.77,1.37,23.56,3.31,78.00,79.00
4/7/2026-05:30:00,0.80,1.35,27.14,3.13,78.00,78.00
4/7/2026-05:45:00,1.10,3.21,216.01,3.30,77.00,78.00
4/7/2026-06:00:00,1.20,3.21,203.76,3.28,78.00,79.00
4/7/2026-06:15:00,1.13,2.96,192.25,3.00,79.00,85.00
4/7/2026-06:30:00,0.87,3.08,194.43,3.13,81.00,95.00
4/7/2026-06:45:00,1.06,3.01,198.30,3.08,84.00,100.00
4/7/2026-07:00:00,0.96,3.04,195.19,3.10,90.00,100.00
4/7/2026-07:15:00,1.19,3.30,208.12,3.38,96.00,100.00
4/7/2026-07:30:00,1.20,3.34,205.57,3.40,100.00,100.00
4/7/2026-07:45:00,1.19,3.41,204.64,3.48,100.00,100.00
4/7/2026-08:00:00,1.33,3.45,201.01,3.52,100.00,100.00
4/7/2026-08:15:00,1.30,3.45,201.73,3.54,100.00,100.00
4/7/2026-08:30:00,1.38,3.49,204.55,3.56,100.00,100.00
4/7/2026-08:45:00,1.30,3.51,194.83,3.58,100.00,100.00
4/7/2026-09:00:00,1.40,3.49,188.34,3.52,100.00,100.00
4/7/2026-09:15:00,1.48,3.60,195.59,3.66,100.00,100.00
4/7/2026-09:30:00,1.65,3.66,189.31,3.69,100.00,100.00
4/7/2026-09:45:00,1.68,3.69,178.61,3.72,100.00,100.00
4/7/2026-10:00:00,1.88,3.62,173.53,3.65,100.00,100.00
4/7/2026-10:15:00,2.07,3.75,171.95,3.79,100.00,100.00
4/7/2026-10:30:00,2.22,3.77,174.66,3.80,100.00,100.00
4/7/2026-10:45:00,2.31,3.71,176.28,3.73,100.00,100.00
4/7/2026-11:00:00,2.14,3.74,162.82,3.74,100.00,100.00
4/7/2026-11:15:00,2.28,3.73,170.81,3.75,100.00,100.00
4/7/2026-11:30:00,2.22,3.61,155.44,3.61,100.00,100.00
4/7/2026-11:45:00,2.32,3.60,155.21,3.60,100.00,100.00
4/7/2026-12:00:00,1.71,3.58,175.82,3.59,100.00,100.00
4/7/2026-12:15:00,1.91,3.62,165.56,3.64,100.00,100.00
4/7/2026-12:30:00,1.82,3.57,161.62,3.58,100.00,100.00
4/7/2026-12:45:00,2.35,3.73,148.10,3.73,100.00,100.00
4/7/2026-13:00:00,2.52,3.83,134.97,3.81,100.00,100.00
4/7/2026-13:15:00,2.46,3.85,133.66,3.84,100.00,100.00
4/7/2026-13:30:00,2.65,3.76,132.21,3.72,100.00,100.00
4/7/2026-13:45:00,2.67,3.92,141.84,4.07,100.00,100.00
4/7/2026-14:00:00,2.92,3.88,120.75,4.09,100.00,100.00
4/7/2026-14:15:00,2.84,3.86,124.19,4.07,100.00,100.00
4/7/2026-14:30:00,2.94,3.81,124.56,4.05,100.00,100.00
4/7/2026-14:45:00,2.82,3.86,126.09,4.09,100.00,100.00
4/7/2026-15:00:00,2.65,3.63,122.26,3.75,100.00,100.00
4/7/2026-15:15:00,2.75,3.63,130.03,3.74,100.00,100.00
4/7/2026-15:30:00,2.73,3.55,126.63,3.68,100.00,100.00
4/7/2026-15:45:00,2.60,3.64,128.69,3.76,100.00,100.00
4/7/2026-16:00:00,2.44,3.46,126.00,3.59,100.00,100.00
4/7/2026-16:15:00,2.45,3.45,148.71,3.56,100.00,100.00
4/7/2026-16:30:00,2.07,3.37,159.86,3.51,100.00,100.00
4/7/2026-16:45:00,2.17,3.23,167.40,3.35,100.00,100.00
4/7/2026-17:00:00,1.89,3.36,172.15,3.47,100.00,100.00
4/7/2026-17:15:00,1.79,3.27,165.37,3.36,95.00,100.00
4/7/2026-17:30:00,1.76,3.35,177.13,3.49,91.00,100.00
