Thoi_Gian,Ap_Bat_Loi,Ap_Sau_Van,Luu_Luong,Ap_Truoc_Van,Dung_Luong_Ac_Quy_Van,Dung_Luong_Ac_Quy_Bat_Loi
4/7/2026-17:45:00,1.62,3.41,195.80,3.54,88.00,100.00
4/7/2026-18:00:00,1.47,3.38,199.03,3.51,86.00,95.00
4/7/2026-18:15:00,0.93,3.10,189.31,3.20,85.00,93.00
4/7/2026-18:30:00,0.99,3.00,205.55,3.11,85.00,93.00
4/7/2026-18:45:00,0.91,2.96,191.80,3.07,87.00,92.00
4/7/2026-19:00:00,0.95,2.97,181.65,3.06,87.00,92.00
4/7/2026-19:15:00,0.98,3.11,189.37,3.21,87.00,92.00
4/7/2026-19:30:00,0.85,3.14,204.87,3.25,87.00,92.00
4/7/2026-19:45:00,0.97,3.15,199.80,3.26,86.00,91.00
4/7/2026-20:00:00,0.96,3.17,210.97,3.30,86.00,91.00
4/7/2026-20:15:00,0.96,3.10,202.75,3.19,86.00,91.00
4/7/2026-20:30:00,1.06,3.15,209.64,3.26,86.00,91.00
4/7/2026-20:45:00,1.12,3.49,219.81,3.60,85.00,90.00
4/7/2026-21:00:00,1.20,3.64,226.73,3.73,85.00,90.00
4/7/2026-21:15:00,1.14,3.76,218.79,3.89,85.00,90.00
4/7/2026-21:30:00,1.26,3.90,223.13,4.01,85.00,90.00
4/7/2026-21:45:00,1.25,3.96,223.02,4.05,85.00,90.00
4/7/2026-22:00:00,1.37,4.02,200.20,4.18,84.00,89.00
4/7/2026-22:15:00,1.49,3.80,201.12,3.97,84.00,89.00
4/7/2026-22:30:00,1.54,3.73,188.64,3.85,84.00,89.00
4/7/2026-22:45:00,0.83,1.37,36.36,3.89,84.00,88.00
4/7/2026-23:00:00,0.87,1.43,37.20,3.54,84.00,88.00
4/7/2026-23:15:00,0.80,1.42,34.55,2.87,83.00,88.00
4/7/2026-23:30:00,0.85,1.46,34.15,2.98,83.00,87.00
4/7/2026-23:45:00,0.92,1.49,33.75,2.94,83.00,87.00
