Thoi_Gian,Ap_Bat_Loi,Ap_Sau_Van,Luu_Luong,Ap_Truoc_Van,Dung_Luong_Ac_Quy_Van,Dung_Luong_Ac_Quy_Bat_Loi
4/9/2026-06:15:01,1.14,3.22,195.42,3.27,79.00,81.00
4/9/2026-06:30:01,0.95,3.10,211.47,3.19,80.00,83.00
4/9/2026-06:45:01,0.93,3.14,202.16,3.23,80.00,87.00
4/9/2026-07:00:01,1.06,3.16,205.53,3.23,83.00,100.00
4/9/2026-07:15:01,1.18,3.17,195.67,3.25,85.00,100.00
4/9/2026-07:30:01,1.14,3.19,200.85,3.28,82.00,100.00
4/9/2026-07:45:01,1.19,3.24,208.77,3.32,94.00,100.00
4/9/2026-08:00:01,1.30,3.50,207.23,3.59,100.00,100.00
4/9/2026-08:15:01,1.33,3.16,200.04,3.22,100.00,100.00
4/9/2026-08:30:01,1.43,3.26,182.19,3.31,100.00,100.00
4/9/2026-08:45:01,1.43,3.39,179.75,3.43,100.00,100.00
4/9/2026-09:00:01,1.76,3.42,179.37,3.45,100.00,100.00
4/9/2026-09:15:01,1.88,3.44,177.46,3.49,100.00,100.00
4/9/2026-09:30:01,1.91,3.49,179.35,3.52,100.00,100.00
4/9/2026-09:45:01,1.79,3.37,162.38,3.38,100.00,100.00
4/9/2026-10:00:01,1.95,3.51,165.08,3.54,100.00,100.00
4/9/2026-10:15:01,2.21,3.69,178.48,3.75,100.00,100.00
4/9/2026-10:30:01,2.28,3.67,175.08,3.69,100.00,100.00
4/9/2026-10:45:01,2.08,3.82,193.92,3.91,100.00,100.00
4/9/2026-11:00:01,2.27,3.60,171.49,3.65,100.00,100.00
4/9/2026-11:15:01,2.03,3.47,174.42,3.52,100.00,100.00
4/9/2026-11:30:01,2.17,3.58,169.20,3.64,100.00,100.00
4/9/2026-11:45:01,1.90,3.55,187.23,3.62,100.00,100.00
4/9/2026-12:00:01,2.10,3.50,172.46,3.56,100.00,100.00
4/9/2026-12:15:01,2.17,3.48,163.50,3.52,100.00,100.00
4/9/2026-12:30:01,2.07,3.51,164.41,3.56,100.00,100.00
4/9/2026-12:45:01,2.38,3.61,149.76,3.64,100.00,100.00
4/9/2026-13:00:01,2.45,3.48,142.17,3.47,100.00,100.00
4/9/2026-13:15:01,2.45,3.51,141.83,3.51,100.00,100.00
4/9/2026-13:30:01,2.38,3.29,128.01,3.28,100.00,100.00
4/9/2026-13:45:01,2.21,3.22,129.01,3.18,100.00,100.00
4/9/2026-14:00:01,2.36,3.29,119.90,3.28,100.00,100.00
4/9/2026-14:15:01,2.35,3.29,125.39,3.27,100.00,100.00
4/9/2026-14:30:01,2.41,3.32,125.39,3.28,100.00,100.00
4/9/2026-14:45:01,2.30,3.25,126.51,3.24,100.00,100.00
4/9/2026-15:00:01,2.07,3.14,141.46,3.15,100.00,100.00
4/9/2026-15:15:02,2.22,3.21,149.38,3.20,100.00,100.00
4/9/2026-15:30:02,2.13,3.21,144.76,3.20,100.00,100.00
4/9/2026-15:45:02,2.21,3.20,136.04,3.18,100.00,100.00
4/9/2026-16:00:02,2.17,3.35,148.15,3.33,100.00,100.00
4/9/2026-16:15:02,1.65,3.24,151.49,3.25,100.00,100.00
4/9/2026-16:30:02,2.44,3.64,182.41,3.68,100.00,100.00
4/9/2026-16:45:02,1.68,3.43,172.65,3.49,100.00,100.00
4/9/2026-17:00:02,1.95,3.51,181.60,3.58,100.00,100.00
4/9/2026-17:15:02,1.81,3.36,169.08,3.39,94.00,100.00
4/9/2026-17:30:02,1.43,3.40,193.09,3.47,90.00,100.00
4/9/2026-17:45:02,1.31,3.70,202.70,3.80,88.00,100.00
4/9/2026-18:00:02,1.37,3.72,201.82,3.82,87.00,95.00
4/9/2026-18:15:02,1.06,3.64,205.27,3.76,89.00,93.00
4/9/2026-18:30:02,1.02,3.59,218.79,3.73,89.00,93.00
4/9/2026-18:45:02,0.90,3.42,224.13,3.52,88.00,92.00
4/9/2026-19:00:02,0.98,3.55,234.62,3.69,88.00,92.00
4/9/2026-19:15:02,0.99,3.53,222.11,3.69,88.00,92.00
4/9/2026-19:30:02,1.08,3.67,247.56,3.77,87.00,91.00
4/9/2026-19:45:02,1.03,3.68,237.84,3.83,87.00,91.00
4/9/2026-20:00:02,1.01,3.74,244.40,3.89,87.00,91.00
4/9/2026-20:15:02,1.06,3.47,224.58,3.59,87.00,91.00
4/9/2026-20:30:02,0.99,3.47,222.55,3.56,87.00,90.00
4/9/2026-20:45:02,0.90,3.55,220.29,3.66,86.00,90.00
4/9/2026-21:00:02,1.16,3.46,230.03,3.57,86.00,90.00
4/9/2026-21:15:02,1.09,3.54,221.95,3.61,86.00,90.00
4/9/2026-21:30:02,1.23,3.32,200.65,3.37,85.00,90.00
4/9/2026-21:45:02,1.21,3.29,201.14,3.36,85.00,90.00
4/9/2026-22:00:02,1.36,3.59,214.87,3.67,85.00,89.00
4/9/2026-22:15:02,1.33,3.54,194.93,3.63,85.00,89.00
4/9/2026-22:30:02,1.34,3.24,181.31,3.27,84.00,89.00
4/9/2026-22:45:02,0.78,1.46,49.75,3.73,84.00,88.00
4/9/2026-23:00:02,0.82,1.46,51.37,3.63,84.00,88.00
4/9/2026-23:15:02,0.89,1.50,47.09,3.36,84.00,88.00
4/9/2026-23:30:02,0.92,1.53,45.04,3.26,84.00,87.00
4/9/2026-23:45:02,0.94,1.51,40.31,3.03,83.00,87.00
