Thoi_Gian,Ap_Bat_Loi,Ap_Sau_Van,Luu_Luong,Ap_Truoc_Van,Dung_Luong_Ac_Quy_Van,Dung_Luong_Ac_Quy_Bat_Loi
4/9/2026-00:00:01,0.97,1.56,40.84,2.77,84.00,87.00
4/9/2026-00:15:01,0.98,1.58,42.28,2.80,83.00,87.00
4/9/2026-00:30:01,1.06,1.61,40.87,2.81,83.00,86.00
4/9/2026-00:45:01,0.86,1.38,20.06,3.01,83.00,86.00
4/9/2026-01:00:01,0.92,1.45,26.10,2.84,83.00,86.00
4/9/2026-01:15:01,0.91,1.45,24.33,3.02,82.00,85.00
4/9/2026-01:30:01,0.95,1.48,24.89,3.04,82.00,85.00
4/9/2026-01:45:01,0.96,1.48,26.06,3.04,82.00,85.00
4/9/2026-02:00:01,0.86,1.45,25.55,3.02,82.00,84.00
4/9/2026-02:15:01,0.95,1.46,25.55,3.05,81.00,84.00
4/9/2026-02:30:01,0.92,1.45,25.83,3.03,81.00,83.00
4/9/2026-02:45:01,0.92,1.45,26.23,3.04,81.00,83.00
4/9/2026-03:00:01,0.91,1.43,27.53,3.05,81.00,82.00
4/9/2026-03:15:01,0.90,1.42,27.04,3.05,80.00,82.00
4/9/2026-03:30:01,0.90,1.44,25.45,3.05,80.00,81.00
4/9/2026-03:45:01,0.92,1.44,24.91,2.96,80.00,81.00
4/9/2026-04:00:01,0.89,1.42,25.85,3.05,80.00,81.00
4/9/2026-04:15:01,0.85,1.38,27.12,3.23,80.00,80.00
4/9/2026-04:30:01,0.85,1.40,27.88,3.28,80.00,80.00
4/9/2026-04:45:01,0.82,1.36,28.96,3.80,79.00,80.00
4/9/2026-05:00:01,0.80,1.40,32.67,4.07,79.00,79.00
4/9/2026-05:15:01,0.74,1.36,33.18,4.17,79.00,79.00
4/9/2026-05:30:01,0.84,1.40,35.78,3.76,79.00,79.00
4/9/2026-05:45:01,1.14,3.48,241.09,3.76,78.00,79.00
4/9/2026-06:00:01,1.17,3.27,198.04,3.38,79.00,80.00
