Thoi_Gian,Ap_Bat_Loi,Ap_Sau_Van,Luu_Luong,Ap_Truoc_Van,Dung_Luong_Ac_Quy_Van,Dung_Luong_Ac_Quy_Bat_Loi
4/10/2026-00:00:02,0.96,1.51,41.07,3.04,83.00,87.00
4/10/2026-00:15:02,0.98,1.53,41.81,3.02,83.00,86.00
4/10/2026-00:30:02,0.99,1.56,41.17,3.08,83.00,86.00
4/10/2026-00:45:02,0.97,1.55,40.97,2.81,82.00,86.00
4/10/2026-01:00:02,1.04,1.60,43.02,3.01,82.00,85.00
4/10/2026-01:15:02,1.06,1.62,40.27,3.05,82.00,85.00
4/10/2026-01:30:02,1.08,1.64,42.17,3.01,82.00,85.00
4/10/2026-01:45:02,0.82,1.35,22.71,3.08,81.00,84.00
4/10/2026-02:00:02,0.89,1.41,26.65,3.05,81.00,84.00
4/10/2026-02:15:02,0.89,1.41,25.34,3.15,81.00,83.00
4/10/2026-02:30:02,0.88,1.40,25.98,3.05,80.00,83.00
4/10/2026-02:45:02,0.89,1.41,25.86,3.05,80.00,82.00
4/10/2026-03:00:02,0.85,1.38,26.00,2.95,80.00,82.00
4/10/2026-03:15:02,0.84,1.37,26.23,2.92,80.00,82.00
4/10/2026-03:30:02,0.85,1.39,29.21,2.92,80.00,81.00
4/10/2026-03:45:02,0.86,1.41,29.33,2.93,79.00,81.00
4/10/2026-04:00:02,0.87,1.42,31.32,3.16,79.00,80.00
4/10/2026-04:15:02,0.85,1.41,31.78,3.16,79.00,80.00
4/10/2026-04:30:02,0.85,1.41,32.59,3.14,79.00,80.00
4/10/2026-04:45:02,0.85,1.42,31.17,3.15,78.00,79.00
4/10/2026-05:00:02,0.82,1.38,32.72,3.38,78.00,79.00
4/10/2026-05:15:02,0.86,1.46,38.35,4.30,78.00,79.00
4/10/2026-05:30:02,0.85,1.42,41.33,4.37,78.00,78.00
4/10/2026-05:45:02,1.09,3.65,229.59,3.81,77.00,78.00
4/10/2026-06:00:02,1.17,3.74,230.68,3.87,78.00,80.00
4/10/2026-06:15:02,1.09,3.60,232.38,3.71,80.00,86.00
4/10/2026-06:30:02,1.16,3.43,213.52,3.53,82.00,98.00
4/10/2026-06:45:02,1.13,3.44,218.95,3.54,84.00,100.00
4/10/2026-07:00:02,1.13,3.36,210.80,3.45,87.00,100.00
4/10/2026-07:15:02,1.20,3.53,226.99,3.64,87.00,100.00
4/10/2026-07:30:02,1.14,3.45,209.21,3.54,90.00,100.00
4/10/2026-07:45:02,1.37,3.36,200.49,3.42,100.00,100.00
4/10/2026-08:00:02,1.30,3.36,191.29,3.43,100.00,100.00
4/10/2026-08:15:02,1.41,3.46,182.87,3.48,100.00,100.00
4/10/2026-08:30:02,1.44,3.52,177.99,3.56,100.00,100.00
4/10/2026-08:45:02,1.55,3.50,174.94,3.53,100.00,100.00
4/10/2026-09:00:02,1.68,3.58,178.64,3.63,100.00,100.00
4/10/2026-09:15:02,1.74,3.40,167.79,3.41,100.00,100.00
4/10/2026-09:30:02,1.97,3.57,165.38,3.60,100.00,100.00
4/10/2026-09:45:02,1.91,3.56,205.69,3.65,100.00,100.00
4/10/2026-10:00:02,1.76,3.56,180.58,3.62,100.00,100.00
4/10/2026-10:15:02,2.16,3.49,186.34,3.54,100.00,100.00
4/10/2026-10:30:02,2.00,3.48,183.90,3.50,100.00,100.00
4/10/2026-10:45:02,2.22,3.50,174.28,3.52,100.00,100.00
4/10/2026-11:00:02,1.81,3.48,176.71,3.52,100.00,100.00
4/10/2026-11:15:02,2.03,3.47,176.21,3.50,100.00,100.00
4/10/2026-11:30:02,2.05,3.46,167.04,3.47,100.00,100.00
4/10/2026-11:45:02,1.83,3.23,166.91,3.38,100.00,100.00
4/10/2026-12:00:02,1.54,2.91,152.05,3.24,100.00,100.00
4/10/2026-12:15:02,1.59,2.76,129.37,3.43,100.00,100.00
4/10/2026-12:30:02,1.86,3.06,151.81,3.34,100.00,100.00
4/10/2026-12:45:02,1.61,2.51,102.25,3.64,100.00,100.00
4/10/2026-13:00:02,1.85,2.52,111.17,3.70,100.00,100.00
4/10/2026-13:15:02,1.82,2.76,125.51,3.73,100.00,100.00
4/10/2026-13:30:02,1.53,2.48,102.02,3.73,100.00,100.00
4/10/2026-13:45:02,1.79,2.73,103.75,3.56,100.00,100.00
4/10/2026-14:00:02,1.47,2.39,93.58,3.74,100.00,100.00
4/10/2026-14:15:02,1.72,2.65,109.60,3.71,100.00,100.00
4/10/2026-14:30:02,1.69,2.40,99.06,3.68,100.00,100.00
4/10/2026-14:45:02,1.58,2.45,104.37,3.64,100.00,100.00
4/10/2026-15:00:02,1.59,2.85,145.77,3.59,100.00,100.00
4/10/2026-15:15:02,1.61,2.57,135.37,3.69,100.00,100.00
4/10/2026-15:30:02,1.71,2.83,148.50,3.65,100.00,100.00
4/10/2026-15:45:02,1.68,3.06,155.13,3.64,100.00,100.00
4/10/2026-16:00:02,1.61,3.28,159.74,3.62,100.00,100.00
4/10/2026-16:15:02,1.54,2.84,125.68,3.44,100.00,100.00
4/10/2026-16:30:02,1.70,3.37,174.83,3.68,100.00,100.00
4/10/2026-16:45:02,1.60,2.89,157.87,3.44,100.00,100.00
4/10/2026-17:00:02,1.60,3.20,179.18,3.31,98.00,100.00
4/10/2026-17:15:02,1.53,3.01,167.80,3.12,94.00,100.00
4/10/2026-17:30:02,1.30,3.45,204.01,3.57,90.00,100.00
4/10/2026-17:45:02,1.20,3.40,202.89,3.52,89.00,100.00
4/10/2026-18:00:02,1.16,3.34,204.55,3.48,87.00,95.00
4/10/2026-18:15:02,0.91,3.32,200.85,3.42,89.00,93.00
4/10/2026-18:30:02,0.99,3.26,194.57,3.38,88.00,92.00
4/10/2026-18:45:02,0.92,3.50,216.76,3.60,88.00,92.00
4/10/2026-19:00:02,0.96,3.58,207.85,3.70,88.00,92.00
4/10/2026-19:15:02,0.98,3.46,229.97,3.59,88.00,92.00
4/10/2026-19:30:02,1.03,3.71,238.82,3.83,88.00,91.00
4/10/2026-19:45:02,1.13,3.68,235.29,3.80,87.00,91.00
4/10/2026-20:00:02,1.13,3.76,232.14,3.91,87.00,91.00
4/10/2026-20:15:02,1.14,3.84,234.22,3.97,87.00,91.00
4/10/2026-20:30:02,1.16,3.83,230.89,3.97,86.00,90.00
4/10/2026-20:45:02,1.09,3.92,234.68,4.03,86.00,90.00
4/10/2026-21:00:02,1.19,3.95,232.77,4.07,86.00,90.00
4/10/2026-21:15:02,1.21,3.68,213.50,3.76,86.00,90.00
4/10/2026-21:30:02,1.30,3.72,201.48,3.80,86.00,90.00
4/10/2026-21:45:02,1.28,3.67,192.64,3.75,85.00,90.00
4/10/2026-22:00:02,1.22,3.47,188.66,3.52,85.00,90.00
4/10/2026-22:15:02,1.42,3.59,199.89,3.65,85.00,89.00
4/10/2026-22:30:03,1.44,3.67,195.76,3.71,85.00,89.00
4/10/2026-22:45:03,1.54,3.25,165.43,3.62,84.00,89.00
4/10/2026-23:00:03,0.79,1.42,26.61,3.42,84.00,88.00
4/10/2026-23:15:03,0.87,1.43,38.39,3.35,84.00,88.00
4/10/2026-23:30:03,0.89,1.43,33.83,3.17,84.00,88.00
4/10/2026-23:45:03,0.87,1.43,33.77,3.05,84.00,87.00
