Thoi_Gian,Ap_Bat_Loi,Ap_Sau_Van,Luu_Luong,Ap_Truoc_Van,Dung_Luong_Ac_Quy_Van,Dung_Luong_Ac_Quy_Bat_Loi
4/5/2026-16:15:58,1.93,3.55,150.92,3.59,100.00,100.00
4/5/2026-16:30:58,1.54,3.49,145.30,3.53,100.00,100.00
4/5/2026-16:45:58,1.91,3.59,168.30,3.67,100.00,100.00
4/5/2026-17:00:58,1.61,3.43,172.35,3.55,98.00,100.00
4/5/2026-17:15:58,1.83,3.41,186.37,3.49,93.00,100.00
4/5/2026-17:30:58,1.82,3.54,188.13,3.67,90.00,100.00
4/5/2026-17:45:58,1.41,3.71,206.45,3.84,89.00,100.00
4/5/2026-18:00:58,1.13,3.71,203.14,3.81,87.00,95.00
4/5/2026-18:15:58,1.11,3.61,216.58,3.73,86.00,93.00
4/5/2026-18:30:59,1.13,3.61,214.64,3.75,86.00,92.00
4/5/2026-18:45:59,0.99,3.62,214.57,3.73,86.00,92.00
4/5/2026-19:00:59,1.15,3.65,218.82,3.77,86.00,92.00
4/5/2026-19:15:59,1.09,3.73,207.97,3.83,85.00,92.00
4/5/2026-19:30:59,1.20,3.76,211.99,3.86,85.00,91.00
4/5/2026-19:45:59,1.16,3.62,209.77,3.71,85.00,91.00
4/5/2026-20:00:59,1.27,3.82,217.13,3.95,85.00,90.00
4/5/2026-20:15:59,1.36,3.89,222.66,4.01,84.00,90.00
4/5/2026-20:30:59,1.33,3.50,198.33,3.60,84.00,90.00
4/5/2026-20:45:59,1.26,3.56,189.10,3.64,84.00,90.00
4/5/2026-21:00:59,1.38,3.68,183.13,3.73,84.00,90.00
4/5/2026-21:15:59,1.54,3.73,180.76,3.77,84.00,90.00
4/5/2026-21:30:59,1.60,3.77,178.62,3.82,84.00,90.00
4/5/2026-21:45:59,1.76,3.76,180.34,3.82,83.00,89.00
4/5/2026-22:00:59,1.27,3.31,157.34,3.30,83.00,89.00
4/5/2026-22:15:59,1.51,3.19,140.97,3.17,83.00,89.00
4/5/2026-22:30:59,1.64,3.06,134.22,3.07,81.00,88.00
4/5/2026-22:45:59,0.83,1.38,23.59,2.85,82.00,88.00
4/5/2026-23:00:59,0.84,1.42,27.80,2.94,82.00,88.00
4/5/2026-23:15:59,0.78,1.37,28.16,2.94,82.00,87.00
4/5/2026-23:30:59,0.85,1.40,30.66,2.89,81.00,87.00
4/5/2026-23:45:59,0.90,1.47,30.55,3.01,81.00,87.00
