Thoi_Gian,Ap_Bat_Loi,Ap_Sau_Van,Luu_Luong,Ap_Truoc_Van,Dung_Luong_Ac_Quy_Van,Dung_Luong_Ac_Quy_Bat_Loi
4/12/2026-00:00:03,0.92,1.44,20.31,3.00,84.00,87.00
4/12/2026-00:15:03,0.88,1.42,20.29,3.04,83.00,87.00
4/12/2026-00:30:03,0.86,1.40,20.70,2.88,83.00,86.00
4/12/2026-00:45:03,0.92,1.46,19.89,3.20,83.00,86.00
4/12/2026-01:00:03,0.92,1.47,21.04,3.10,82.00,86.00
4/12/2026-01:15:03,0.95,1.47,20.64,3.10,83.00,85.00
4/12/2026-01:30:03,0.95,1.50,20.08,3.06,82.00,85.00
4/12/2026-06:45:36,0.76,2.17,110.65,3.85,88.00,100.00
4/12/2026-07:00:36,1.00,3.51,262.58,3.69,92.00,100.00
4/12/2026-07:15:36,0.95,3.50,234.31,3.62,100.00,100.00
4/12/2026-07:30:36,1.04,3.20,209.72,3.27,100.00,100.00
4/12/2026-07:45:36,1.06,3.06,198.33,3.11,100.00,100.00
4/12/2026-08:00:36,1.06,3.19,211.24,3.27,100.00,100.00
4/12/2026-08:15:36,1.03,3.12,202.50,3.17,100.00,100.00
4/12/2026-09:15:53,1.24,3.14,203.94,3.18,100.00,100.00
4/12/2026-09:30:23,1.30,3.14,203.94,3.18,100.00,100.00
4/12/2026-10:00:30,1.34,3.59,219.00,3.68,100.00,100.00
4/12/2026-10:15:30,1.37,3.62,215.54,3.73,100.00,100.00
4/12/2026-10:30:30,1.37,3.51,204.48,3.60,100.00,100.00
4/12/2026-10:45:30,1.33,3.63,208.36,3.72,100.00,100.00
4/12/2026-11:00:30,1.34,3.66,215.59,3.73,100.00,100.00
4/12/2026-11:15:30,1.44,3.69,208.04,3.76,100.00,100.00
4/12/2026-11:30:31,1.63,3.73,217.42,3.79,100.00,100.00
4/12/2026-11:45:31,1.58,3.75,203.94,3.82,100.00,100.00
4/12/2026-12:00:31,1.57,3.62,195.35,3.66,100.00,100.00
4/12/2026-12:15:31,1.37,3.67,189.27,3.72,100.00,100.00
4/12/2026-12:30:31,1.79,3.52,188.09,3.66,100.00,100.00
4/12/2026-12:45:31,1.80,3.31,148.22,3.69,100.00,100.00
4/12/2026-13:00:31,1.61,2.59,122.13,3.60,100.00,100.00
4/12/2026-13:15:31,1.68,2.87,123.00,3.55,100.00,100.00
4/12/2026-13:30:31,1.47,2.44,87.15,3.75,100.00,100.00
4/12/2026-13:45:31,1.68,2.52,107.18,3.77,100.00,100.00
4/12/2026-14:00:31,1.61,2.53,110.60,3.75,100.00,100.00
4/12/2026-14:15:31,1.58,2.40,100.41,3.60,100.00,100.00
4/12/2026-14:30:31,1.59,2.57,112.59,3.74,100.00,100.00
4/12/2026-14:45:31,1.64,2.42,120.26,3.74,100.00,100.00
4/12/2026-15:00:31,1.68,2.62,120.71,3.70,100.00,100.00
4/12/2026-15:15:31,1.41,2.98,132.16,3.63,100.00,100.00
4/12/2026-15:30:31,1.64,2.60,141.21,3.61,100.00,100.00
4/12/2026-15:45:31,1.50,3.18,170.28,3.55,100.00,100.00
4/12/2026-16:00:31,1.68,3.20,174.15,3.51,100.00,100.00
4/12/2026-16:15:31,1.38,3.01,165.18,3.14,100.00,100.00
4/12/2026-16:30:31,1.47,3.32,185.05,3.47,100.00,100.00
4/12/2026-16:45:31,1.28,3.19,191.53,3.29,100.00,100.00
4/12/2026-17:00:31,1.16,3.20,185.70,3.27,100.00,100.00
4/12/2026-17:15:31,1.22,3.37,194.91,3.52,95.00,100.00
4/12/2026-17:30:31,1.23,3.23,192.29,3.30,91.00,100.00
4/12/2026-17:45:31,1.22,3.27,205.53,3.38,89.00,100.00
4/12/2026-18:00:31,1.06,3.41,201.66,3.56,88.00,95.00
4/12/2026-18:15:31,1.03,3.55,207.23,3.65,90.00,92.00
4/12/2026-18:30:31,1.06,3.53,233.25,3.65,89.00,92.00
4/12/2026-18:45:31,0.87,3.36,219.83,3.46,89.00,92.00
4/12/2026-19:00:31,1.02,3.59,227.39,3.72,89.00,92.00
4/12/2026-19:15:31,0.96,3.61,246.51,3.73,88.00,92.00
4/12/2026-19:30:31,1.07,3.65,229.62,3.80,88.00,91.00
4/12/2026-19:45:31,1.09,3.68,224.19,3.80,88.00,91.00
4/12/2026-20:00:31,1.06,3.54,228.02,3.65,88.00,91.00
4/12/2026-20:15:31,1.14,3.76,232.59,3.91,88.00,91.00
4/12/2026-20:30:31,1.14,3.49,214.06,3.59,88.00,91.00
4/12/2026-20:45:31,1.23,3.51,212.24,3.60,87.00,90.00
4/12/2026-21:00:31,1.25,3.64,206.47,3.72,87.00,90.00
4/12/2026-21:15:31,1.25,3.61,191.90,3.67,87.00,90.00
4/12/2026-21:30:31,1.27,3.65,202.32,3.70,87.00,90.00
4/12/2026-21:45:31,1.27,3.65,202.32,3.70,87.00,90.00
4/12/2026-22:00:31,1.27,3.65,202.32,3.70,87.00,90.00
4/12/2026-22:15:31,1.27,3.65,202.32,3.70,87.00,90.00
4/12/2026-22:30:31,1.27,3.65,202.32,3.70,87.00,90.00
4/12/2026-22:45:31,1.27,3.65,202.32,3.70,87.00,90.00
4/12/2026-23:00:31,1.27,3.65,202.32,3.70,87.00,90.00
4/12/2026-23:15:15,1.27,3.65,202.32,3.70,87.00,90.00
4/12/2026-23:30:15,1.27,1.69,57.56,2.99,81.00,90.00
4/12/2026-23:45:15,0.91,1.45,28.08,2.97,84.00,87.00
